-93,-78,-84,-80,-83,-75,-78,-79,-83,-84,-85,-99,-89,-87,-87,-80,-83,-90,-73,-94,-88,-69,-88,-74,-71,-85,-76,-85,-83,-84,-84,-73,-85,-72,-81,-73,-60,-79,-86,1
-84,-72,-82,-80,-87,-75,-76,-85,-83,-82,-81,-91,-89,-86,-90,-69,-82,-88,-83,-91,-83,-70,-90,-75,-71,-83,-73,-82,-81,-82,-88,-73,-83,-72,-81,-71,-60,-80,-89,1
-86,-76,-84,-77,-81,-84,-73,-82,-83,-85,-84,-91,-88,-86,-90,-69,-85,-92,-80,-96,-85,-50,-90,-73,-82,-86,-74,-85,-83,-84,-84,-71,-83,-70,-88,-71,-61,-89,-88,1
-84,-69,-83,-88,-86,-76,-76,-78,-82,-82,-86,-90,-89,-88,-88,-70,-86,-89,-72,-99,-81,-61,-92,-68,-70,-82,-71,-82,-82,-86,-82,-71,-82,-71,-83,-71,-65,-78,-92,1
-86,-77,-85,-88,-85,-75,-79,-81,-85,-84,-85,-89,-90,-84,-90,-74,-83,-93,-82,-88,-82,-54,-87,-74,-80,-86,-78,-86,-84,-84,-84,-71,-85,-72,-88,-72,-67,-80,-92,1
-83,-69,-83,-69,-90,-85,-73,-82,-86,-83,-87,-90,-88,-91,-89,-78,-83,-88,-75,-92,-90,-72,-88,-72,-70,-84,-71,-83,-86,-87,-83,-72,-84,-71,-82,-57,-62,-80,-91,1
-83,-68,-86,-75,-83,-78,-70,-80,-83,-83,-83,-93,-87,-93,-92,-78,-86,-91,-79,-89,-88,-72,-86,-68,-80,-84,-76,-83,-83,-82,-83,-72,-84,-66,-82,-72,-59,-77,-87,1
-83,-68,-86,-75,-83,-78,-70,-80,-83,-83,-83,-93,-87,-93,-92,-78,-86,-91,-79,-89,-88,-72,-86,-68,-80,-84,-76,-83,-83,-82,-83,-72,-84,-66,-82,-72,-59,-77,-87,1
-93,-71,-85,-68,-87,-84,-72,-81,-82,-85,-88,-90,-87,-94,-90,-76,-85,-93,-83,-89,-92,-72,-92,-69,-70,-84,-74,-84,-84,-85,-84,-78,-82,-73,-81,-53,-61,-77,-89,1
-83,-76,-87,-71,-83,-77,-74,-76,-82,-87,-84,-97,-88,-94,-89,-79,-87,-93,-75,-89,-93,-63,-90,-72,-68,-89,-68,-86,-83,-83,-87,-71,-87,-72,-84,-53,-63,-79,-89,1
-93,-68,-85,-66,-94,-80,-71,-74,-83,-87,-90,-99,-92,-91,-96,-77,-85,-85,-72,-91,-90,-64,-93,-72,-73,-85,-71,-80,-85,-86,-81,-78,-85,-79,-88,-68,-68,-84,-89,2
-97,-80,-83,-65,-92,-82,-71,-70,-86,-84,-91,-94,-85,-92,-91,-76,-84,-88,-71,-92,-91,-67,-91,-84,-79,-84,-75,-84,-86,-82,-83,-79,-84,-73,-90,-66,-70,-83,-88,2
-89,-73,-84,-66,-88,-82,-72,-73,-85,-85,-89,-97,-85,-93,-86,-77,-85,-87,-71,-91,-90,-68,-90,-74,-81,-85,-78,-84,-86,-87,-83,-79,-87,-68,-87,-84,-73,-84,-87,2
-93,-75,-87,-73,-85,-76,-69,-84,-87,-87,-88,-90,-90,-93,-87,-74,-88,-87,-68,-92,-93,-58,-93,-81,-75,-87,-79,-86,-86,-91,-86,-80,-87,-66,-87,-70,-71,-88,-90,2
-85,-68,-83,-70,-90,-82,-63,-72,-82,-83,-90,-94,-83,-92,-86,-77,-85,-88,-75,-98,-89,-59,-89,-78,-82,-84,-73,-82,-81,-82,-83,-81,-83,-77,-87,-67,-69,-84,-87,2
-88,-70,-80,-73,-91,-78,-68,-78,-81,-79,-89,-91,-90,-89,-91,-79,-88,-84,-76,-95,-91,-71,-88,-74,-82,-81,-79,-80,-86,-86,-80,-74,-91,-71,-88,-78,-58,-81,-91,2
-99,-68,-86,-73,-89,-79,-74,-71,-87,-83,-88,-95,-83,-90,-82,-82,-83,-87,-68,-92,-87,-52,-90,-86,-82,-82,-79,-82,-83,-83,-84,-78,-83,-71,-87,-69,-67,-82,-87,2
-96,-69,-84,-71,-91,-80,-64,-75,-83,-82,-87,-93,-83,-91,-95,-74,-81,-95,-76,-97,-86,-70,-93,-83,-73,-81,-83,-81,-81,-85,-83,-79,-83,-70,-90,-69,-68,-93,-89,2
-95,-78,-84,-65,-92,-83,-70,-71,-85,-84,-87,-99,-84,-90,-82,-73,-84,-87,-70,-90,-93,-59,-89,-67,-73,-82,-77,-84,-85,-81,-85,-83,-83,-71,-89,-69,-61,-81,-87,2
-92,-73,-80,-80,-92,-79,-62,-84,-82,-81,-89,-99,-85,-88,-81,-74,-85,-95,-80,-88,-89,-68,-86,-75,-74,-85,-76,-86,-86,-88,-86,-75,-86,-71,-88,-71,-66,-90,-88,2
-87,-66,-83,-71,-89,-81,-66,-80,-84,-82,-91,-87,-88,-90,-83,-70,-81,-82,-84,-91,-87,-53,-90,-73,-80,-82,-67,-78,-85,-78,-79,-81,-80,-63,-83,-72,-70,-82,-93,3
-88,-72,-80,-70,-87,-86,-67,-73,-83,-81,-88,-89,-83,-89,-84,-77,-80,-77,-72,-91,-90,-58,-88,-67,-79,-80,-81,-79,-80,-80,-77,-76,-81,-74,-81,-79,-73,-88,-88,3
-87,-85,-80,-75,-88,-84,-71,-77,-84,-79,-87,-87,-87,-85,-95,-77,-78,-79,-82,-92,-88,-49,-99,-74,-79,-79,-71,-84,-85,-78,-84,-76,-77,-63,-82,-82,-64,-80,-89,3
-84,-77,-80,-76,-86,-76,-66,-78,-79,-78,-89,-88,-86,-95,-91,-82,-78,-84,-75,-91,-91,-54,-93,-81,-77,-79,-73,-79,-77,-78,-79,-68,-79,-74,-86,-82,-65,-90,-89,3
-89,-71,-85,-76,-94,-84,-66,-81,-77,-77,-89,-100,-90,-87,-89,-72,-84,-94,-72,-96,-89,-46,-95,-79,-78,-77,-76,-84,-84,-76,-85,-82,-84,-69,-83,-79,-64,-93,-87,3
-86,-75,-80,-78,-85,-83,-66,-82,-78,-79,-89,-87,-86,-90,-80,-85,-78,-82,-85,-92,-91,-50,-91,-83,-76,-80,-68,-79,-90,-79,-79,-73,-80,-64,-81,-73,-69,-81,-88,3
